geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
89090,zh-CN,AF,非洲,LY,利比亚,JA,,,,,,Africa/Tripoli,0
89113,zh-CN,AF,非洲,LY,利比亚,WA,,,,艾季达比耶,,Africa/Tripoli,0
89341,zh-CN,AS,亚洲,IQ,伊拉克,BA,,,,,,Asia/Baghdad,0
89570,zh-CN,AS,亚洲,IQ,伊拉克,DA,杜胡克省,,,,,Asia/Baghdad,0
90150,zh-CN,AS,亚洲,IQ,伊拉克,SD,萨拉赫丁省,,,提克里特,,Asia/Baghdad,0
90510,zh-CN,AS,亚洲,IQ,伊拉克,DQ,,,,,,Asia/Baghdad,0
91419,zh-CN,AS,亚洲,IQ,伊拉克,BA,,,,,,Asia/Baghdad,0
91597,zh-CN,AS,亚洲,IQ,伊拉克,SD,萨拉赫丁省,,,,,Asia/Baghdad,0
91695,zh-CN,AS,亚洲,IQ,伊拉克,SD,萨拉赫丁省,,,,,Asia/Baghdad,0
92052,zh-CN,AS,亚洲,IQ,伊拉克,SU,,,,,,Asia/Baghdad,0
93540,zh-CN,AS,亚洲,IQ,伊拉克,MA,米桑省,,,米桑省,,Asia/Baghdad,0
94787,zh-CN,AS,亚洲,IQ,伊拉克,KI,,,,,,Asia/Baghdad,0
94823,zh-CN,AS,亚洲,IQ,伊拉克,KA,,,,,,Asia/Baghdad,0
94824,zh-CN,AS,亚洲,IQ,伊拉克,KA,,,,,,Asia/Baghdad,0
95446,zh-CN,AS,亚洲,IQ,伊拉克,AR,,,,,,Asia/Baghdad,0
96965,zh-CN,AS,亚洲,IQ,伊拉克,DI,,,,,,Asia/Baghdad,0
96994,zh-CN,AS,亚洲,IQ,伊拉克,DA,杜胡克省,,,,,Asia/Baghdad,0
97019,zh-CN,AS,亚洲,IQ,伊拉克,DQ,,,,,,Asia/Baghdad,0
97990,zh-CN,AS,亚洲,IQ,伊拉克,DI,,,,巴古拜,,Asia/Baghdad,0
98180,zh-CN,AS,亚洲,IQ,伊拉克,BG,,,,,,Asia/Baghdad,0
98182,zh-CN,AS,亚洲,IQ,伊拉克,BG,,,,巴格达,,Asia/Baghdad,0
98227,zh-CN,AS,亚洲,IQ,伊拉克,BB,,,,,,Asia/Baghdad,0
98245,zh-CN,AS,亚洲,IQ,伊拉克,BA,,,,,,Asia/Baghdad,0
98304,zh-CN,AS,亚洲,IQ,伊拉克,AR,,,,,,Asia/Baghdad,0
98463,zh-CN,AS,亚洲,IQ,伊拉克,SU,,,,,,Asia/Baghdad,0
98530,zh-CN,AS,亚洲,IQ,伊拉克,MU,,,,,,Asia/Baghdad,0
98717,zh-CN,AS,亚洲,IQ,伊拉克,AN,安巴尔省,,,,,Asia/Baghdad,0
98854,zh-CN,AS,亚洲,IQ,伊拉克,DQ,,,,,,Asia/Baghdad,0
98860,zh-CN,AS,亚洲,IQ,伊拉克,NA,,,,納杰夫,,Asia/Baghdad,0
99010,zh-CN,AS,亚洲,IQ,伊拉克,BB,,,,,,Asia/Baghdad,0
99022,zh-CN,AS,亚洲,IQ,伊拉克,QA,,,,,,Asia/Baghdad,0
99071,zh-CN,AS,亚洲,IQ,伊拉克,NI,,,,,,Asia/Baghdad,0
99072,zh-CN,AS,亚洲,IQ,伊拉克,NI,,,,摩苏尔,,Asia/Baghdad,0
99131,zh-CN,AS,亚洲,IQ,伊拉克,WA,,,,,,Asia/Baghdad,0
99237,zh-CN,AS,亚洲,IQ,伊拉克,,,,,,,Asia/Baghdad,0
99347,zh-CN,AS,亚洲,IQ,伊拉克,BB,,,,,,Asia/Baghdad,0
99454,zh-CN,AS,亚洲,IQ,伊拉克,AN,安巴尔省,,,费卢杰,,Asia/Baghdad,0
99532,zh-CN,AS,亚洲,IQ,伊拉克,BA,,,,巴士拉,,Asia/Baghdad,0
99592,zh-CN,AS,亚洲,IQ,伊拉克,AN,安巴尔省,,,安巴尔省,,Asia/Baghdad,0
99608,zh-CN,AS,亚洲,IQ,伊拉克,MA,米桑省,,,,,Asia/Baghdad,0
99738,zh-CN,AS,亚洲,IQ,伊拉克,QA,,,,,,Asia/Baghdad,0
99762,zh-CN,AS,亚洲,IQ,伊拉克,QA,,,,,,Asia/Baghdad,0
99767,zh-CN,AS,亚洲,IQ,伊拉克,BG,,,,,,Asia/Baghdad,0
100077,zh-CN,AS,亚洲,IQ,伊拉克,BG,,,,,,Asia/Baghdad,0
100425,zh-CN,AS,亚洲,SA,沙特阿拉伯,03,,,,,,Asia/Riyadh,0
100768,zh-CN,AS,亚洲,SA,沙特阿拉伯,05,,,,,,Asia/Riyadh,0
100926,zh-CN,AS,亚洲,SA,沙特阿拉伯,07,塔布克省,,,,,Asia/Riyadh,0
101312,zh-CN,AS,亚洲,SA,沙特阿拉伯,08,,,,,,Asia/Riyadh,0
101384,zh-CN,AS,亚洲,SA,沙特阿拉伯,05,,,,,,Asia/Riyadh,0
101628,zh-CN,AS,亚洲,SA,沙特阿拉伯,07,塔布克省,,,塔布克,,Asia/Riyadh,0
101760,zh-CN,AS,亚洲,SA,沙特阿拉伯,03,,,,,,Asia/Riyadh,0
101773,zh-CN,AS,亚洲,SA,沙特阿拉伯,14,阿西尔省,,,,,Asia/Riyadh,0
102170,zh-CN,AS,亚洲,SA,沙特阿拉伯,01,利雅得省,,,,,Asia/Riyadh,0
102229,zh-CN,AS,亚洲,SA,沙特阿拉伯,01,利雅得省,,,,,Asia/Riyadh,0
102358,zh-CN,AS,亚洲,SA,沙特阿拉伯,,,,,,,Asia/Riyadh,0
102458,zh-CN,AS,亚洲,SA,沙特阿拉伯,,,,,,,Asia/Riyadh,0
102527,zh-CN,AS,亚洲,SA,沙特阿拉伯,12,,,,,,Asia/Riyadh,0
103019,zh-CN,AS,亚洲,SA,沙特阿拉伯,04,东部省,,,,,Asia/Riyadh,0
103369,zh-CN,AS,亚洲,SA,沙特阿拉伯,14,阿西尔省,,,,,Asia/Riyadh,0
103630,zh-CN,AS,亚洲,SA,沙特阿拉伯,10,奈季兰省,,,,,Asia/Riyadh,0
104514,zh-CN,AS,亚洲,SA,沙特阿拉伯,02,,,,,,Asia/Riyadh,0
104515,zh-CN,AS,亚洲,SA,沙特阿拉伯,02,,,,,,Asia/Riyadh,0
105026,zh-CN,AS,亚洲,SA,沙特阿拉伯,,,,,,,Asia/Riyadh,0
105072,zh-CN,AS,亚洲,SA,沙特阿拉伯,14,阿西尔省,,,海米斯穆谢特,,Asia/Riyadh,0
105299,zh-CN,AS,亚洲,SA,沙特阿拉伯,09,,,,,,Asia/Riyadh,0
105343,zh-CN,AS,亚洲,SA,沙特阿拉伯,02,,,,吉达,,Asia/Riyadh,0
105357,zh-CN,AS,亚洲,SA,沙特阿拉伯,,,,,,,Asia/Riyadh,0
106281,zh-CN,AS,亚洲,SA,沙特阿拉伯,06,,,,,,Asia/Riyadh,0
106297,zh-CN,AS,亚洲,SA,沙特阿拉伯,04,东部省,,,,,Asia/Riyadh,0
106909,zh-CN,AS,亚洲,SA,沙特阿拉伯,07,塔布克省,,,,,Asia/Riyadh,0
107304,zh-CN,AS,亚洲,SA,沙特阿拉伯,05,,,,,,Asia/Riyadh,0
107729,zh-CN,AS,亚洲,SA,沙特阿拉伯,02,,,,,,Asia/Riyadh,0
107797,zh-CN,AS,亚洲,SA,沙特阿拉伯,04,东部省,,,宰赫兰,,Asia/Riyadh,0
107968,zh-CN,AS,亚洲,SA,沙特阿拉伯,02,,,,塔伊夫,,Asia/Riyadh,0
108179,zh-CN,AS,亚洲,SA,沙特阿拉伯,14,阿西尔省,,,阿西尔省,,Asia/Riyadh,0
108240,zh-CN,AS,亚洲,SA,沙特阿拉伯,06,,,,,,Asia/Riyadh,0
108241,zh-CN,AS,亚洲,SA,沙特阿拉伯,04,东部省,,,,,Asia/Riyadh,0
108243,zh-CN,AS,亚洲,SA,沙特阿拉伯,07,塔布克省,,,,,Asia/Riyadh,0
108410,zh-CN,AS,亚洲,SA,沙特阿拉伯,01,利雅得省,,,利雅德,,Asia/Riyadh,0
108411,zh-CN,AS,亚洲,SA,沙特阿拉伯,01,利雅得省,,,利雅得省,,Asia/Riyadh,0
108512,zh-CN,AS,亚洲,SA,沙特阿拉伯,08,,,,,,Asia/Riyadh,0
108927,zh-CN,AS,亚洲,SA,沙特阿拉伯,04,东部省,,,,,Asia/Riyadh,0
108933,zh-CN,AS,亚洲,SA,沙特阿拉伯,05,,,,,,Asia/Riyadh,0
109102,zh-CN,AS,亚洲,SA,沙特阿拉伯,01,利雅得省,,,,,Asia/Riyadh,0
109223,zh-CN,AS,亚洲,SA,沙特阿拉伯,03,,,,麦地那,,Asia/Riyadh,0
109224,zh-CN,AS,亚洲,SA,沙特阿拉伯,03,,,,,,Asia/Riyadh,0
109323,zh-CN,AS,亚洲,SA,沙特阿拉伯,04,东部省,,,,,Asia/Riyadh,0
109353,zh-CN,AS,亚洲,SA,沙特阿拉伯,01,利雅得省,,,,,Asia/Riyadh,0
